feature,importance
Payment Value,0.23006890903660604
Delivery vs Estimate,0.21413262795424504
Product Volume,0.18634299626517492
Product Weight,0.15819785864743147
Delivery Days,0.14117738732724677
Customer Location,0.07008022076929583
